''	33674:37799:354:558
do	56618:23285:840:430 4425:45598:862:430
done	9867:27799:1770:430
doors	52104:18516:2035:414
doubtful	34935:20558:3208:414
dr	51795:43796:1062:398 18231:56125:1039:382 18540:57416:1128:398 50224:45104:1150:414
drawing	25820:35598:3097:542
draws	26306:14928:2234:414
dressing	49582:25056:3163:526
ductor	17832:46156:2455:414
during	43697:21993:2500:542 41462:57560:2478:542 45246:44274:2500:542
e	31152:28022:774:430 51795:45104:708:414 25023:62600:708:382 27258:61994:708:398
each	3141:37958:1703:430
earle	34360:52201:2190:446
ed	49272:57018:862:414
eddy	23098:61420:2190:526
editor	5044:19904:2389:430
education	5287:49107:3628:430
edvard	18585:54179:2787:398
effort	12589:39697:2212:494
efforts	4823:20638:2389:430 12279:17703:2411:414
eligible	35157:40765:2765:542
en	62437:38437:752:271
enable	21837:36778:2433:430
encour	29205:21515:2433:287
end	50998:37735:1327:398 59118:35694:1349:414
endowed	21018:28022:3340:414
energy	7168:52759:2588:398
engaged	35621:52759:3163:558
engraved	53144:37129:3495:542
enter	10885:60271:1947:366
entering	17877:33269:3163:542
enthusiasm	11527:52632:4469:494 2124:25678:4292:446
er	2101:41627:885:366
ertheless	33741:19123:3540:462
especially	33696:31228:3739:558
essential	10133:49107:3230:414
ets	2101:38628:1039:350
events	56707:15709:2455:382 36617:12376:2079:287
every	7367:33365:2124:414 10199:35710:2101:414 4402:59777:2101:414
everybody	10642:22025:4004:558
ex	15045:34545:752:287 62171:57656:752:303
exactly	42237:49681:2743:526
examinations	39869:59442:5022:430
exciting	44847:19107:3031:526
expenditure	8584:40287:4535:558
explicable	26218:19027:3849:558
fact	12456:50271:1593:494
factory	17877:35630:2699:510
facts	17965:20223:1947:430 23497:20223:1792:414
faculty	10332:20590:2655:494
failed	4668:27113:2124:414
failing	57702:47959:2433:542
fall	35179:58756:1393:414
far	3318:23540:1039:398
fassett	25731:61420:2898:462
feared	3340:62568:2522:462
fearey	23297:63174:2809:526 17722:63158:2809:526
feature	40644:25598:2677:414
features	44516:56396:3053:398
february	50534:40670:3739:526 35444:61946:3540:494 41374:44848:3783:542 34559:60654:3739:510
fellowship	19536:24561:3894:494 25576:36188:3894:558 23320:27288:4137:542
felt	14823:47943:1283:398
fenner	49516:33541:2920:478
field	45954:30638:1770:462 39537:57576:1593:414
fifteenth	35311:53939:3230:414
fifth	45998:60000:1548:398
final	30355:33844:1615:414
fine	30311:32073:1659:414
finely	4115:36778:2124:542
first	36838:39585:1482:414 12899:36762:1482:414 41307:29904:1482:414
five	41307:47337:1349:398 39073:45582:1327:414
fol	30599:57384:951:414
follow	13673:14114:2256:414
following	21771:59554:3584:526
follows	23696:51212:8628:446
fondness	4933:60814:3318:430
football	42104:58134:2898:414 37214:24880:2920:414
for	29094:50638:1084:414 62614:12089:1039:414 51374:49139:1084:430 33696:39601:1327:414 27988:52983:1062:414 23629:26571:1062:430 8827:60814:1106:414 62592:32089:1039:446 2101:32695:1062:414 10243:39107:1062:430 12235:27799:1062:430 26085:48293:1062:430 19824:32679:1106:414 5287:56731:1062:414 39205:54514:1062:430 20554:50064:1084:414 17655:59554:1084:398 36307:34880:1062:430 27368:10829:1062:414 36064:50893:1062:398 3584:38549:1084:430 37966:29920:1084:414 59760:15662:1062:430
form	55910:59314:1969:462
forty	9535:30877:1858:526
four	30422:41818:1570:414 30400:44705:1548:414
franz	18607:51834:2168:414
french	20687:39155:2721:430
freshman	54760:29378:3495:382 55999:41244:3517:414
freshmen	52060:31387:3495:414
from	38453:10813:2190:717 59804:49713:1792:414
ful	33718:24162:1039:414
full-length	21173:35614:4026:542
furnishing	49516:32807:3916:542
game	45533:58262:1991:398 40467:25008:2013:414
games	41993:28612:2389:398 35068:49234:2566:430 40754:45694:2367:430 40002:33094:2389:430 42967:47464:2411:414
ganization	17943:17863:3916:558
gave	39471:23588:1770:398
general	39559:49091:2809:558
genung	52326:61292:2942:510
ger	49339:50463:1194:414
give	14624:20590:1593:542 5464:33253:1570:542
given	2101:30351:2057:542 27767:30175:2079:542 49560:27400:2124:542 24404:42552:2057:542
gives	45710:47911:1947:542 24868:13189:1947:526
glee	33298:63110:1902:430 36683:21292:1836:462
go	49582:35119:862:414
good	23917:21977:1814:558 7611:33828:1836:558
graved	49560:38883:2632:558
great	5000:52679:1969:494
gress	33497:58310:1947:414
grieg	21992:54163:2234:542
gross	17722:60255:2278:478
ground	20664:19617:2699:558
growing	12987:47337:3141:542
gym	55445:27990:1947:542
gymnasium	59118:13524:4513:526 51507:23859:4712:542
gynt	27457:54147:1858:542
h	30997:46874:796:398
had	3274:39155:1393:414
hall	43077:63046:1747:414
harvard	42635:42520:3141:398 38409:58150:3186:430 33586:47959:3363:414 39228:34864:3186:430 22833:13764:3363:462
has	14890:30877:1261:414 33674:36651:1261:414 46219:55821:1261:382 4292:50877:1239:414 3717:51467:1283:414 40511:46746:1239:414 6526:53796:1283:414 10819:54960:1261:398 7257:14162:1283:414 46374:52169:1216:414 60025:54833:1239:398 35887:27065:1261:398 5000:39729:1261:414 23519:57400:1261:398 58499:45805:1548:558
hatch	29249:61404:2478:478
haustive	49250:58182:3208:414
have	30245:25853:1792:398 9469:24928:1814:414 36285:27767:1792:414 14403:26363:1792:414 46020:34864:1792:414 14337:44418:1770:414 26793:20223:1770:398 14337:42647:1792:414 30178:31483:1792:414 52082:32105:1814:414
haven	5686:29139:2478:414 6526:24960:2677:462 17877:43285:2455:414 20841:23174:2655:478 21881:9138:4026:574
he	36351:53365:1062:398
head	4690:53222:1814:414
hear	3163:33875:1659:398 17943:14944:1681:414
heart	13872:27081:1947:414
heavy	58631:58724:2256:510
held	17855:33875:1615:398 33475:61930:1659:414 44847:29186:1637:414
helping	13230:56715:2832:542
her	8230:53222:1239:398
hereafter	19779:21403:3495:414
heretofore	40179:33541:4137:446
him	9912:32041:1615:494
his	22523:21977:1084:430 61994:62361:1239:430 41838:53333:1062:414
history	43962:39553:2677:542
holding	44958:32392:2898:542
holidays	33696:22711:3385:542
hope	23054:20813:1770:542
hours	25621:58118:2124:398 29028:56109:2278:398
how	2964:39745:1747:398
hundred	3894:42679:3163:414
hyperion	24426:15502:3739:558
i	22435:20829:287:382 25908:20223:265:398
if	52458:38883:575:430
ignorance	25200:19633:3717:526
ily	2057:27863:995:542
immedi	44670:37799:2677:414
import	44847:48501:2411:542
importance	9004:46188:4270:542
improvement	2101:35630:5066:542 33674:30638:5133:542
in	3628:56156:708:414 2832:59665:752:398 15421:46762:685:398 17722:53573:708:430 40887:39569:708:398 41595:61898:663:398 23563:41818:685:414 17744:52424:708:398 2035:47959:685:398 50401:57018:708:414 51662:59346:708:398 6770:54386:708:414 51596:26826:708:398 37767:63078:663:414 57547:61818:685:398 38807:16953:685:414 56861:37113:708:430 44184:17671:708:414 45555:49681:708:414 23098:30175:663:430 15177:39697:663:430 59384:23875:708:414 62946:21403:708:430 20222:18453:708:430 5774:28564:663:398 41971:18389:685:430 62946:23317:685:414 15753:12392:531:303 46617:50989:663:271 28563:37368:685:414 55291:25056:685:414 30953:36188:663:414 21505:21993:708:414 26129:24561:619:382 13629:45582:708:414 15531:18421:685:414
inal	2079:34450:1393:414
indifference	19956:19043:4491:414
ing	49405:41244:1216:542 2212:14912:1216:542 17766:48900:1194:542
instrument	54273:46523:4181:414 56330:47225:4181:430
intend	55401:26236:2411:414 55888:12057:2411:430
intended	23452:10829:3340:414
intercollegiate	39382:16220:5575:558
interest	38763:18389:2898:430 11859:46762:2964:398
into	59317:14944:1460:414 60114:19250:1438:430
invention	57658:43780:3473:414
is	9027:28533:553:414 27258:45423:597:414 6549:27831:575:414 35865:36060:575:414 41307:49681:575:414 54140:63605:575:398 52281:63030:575:398 25045:19027:553:430 61087:47225:575:430 11925:59617:575:414 9226:49107:575:414 62083:21403:597:430 8385:37942:597:430 9403:47943:553:414 25576:37958:597:414 53454:58756:597:414 30068:36204:597:398 15443:61962:553:430 31462:16666:575:414 2079:32105:553:414 21726:51228:575:414 12611:34402:597:430 1991:59059:597:430 58698:57560:597:398 59870:59282:553:430
isdior	24758:46156:2190:398
issued	35444:55837:2367:414
it	43276:18389:685:478 52569:58772:597:398 8296:47943:531:398 14580:61962:531:414 30267:16682:619:398 23851:28756:619:398
its	40068:56412:973:398 33696:20558:907:414 4602:21355:885:430 27899:18437:862:430
j	17700:61420:508:526 40024:14083:796:526
jan	41241:14083:1460:526 23895:23174:1438:526
jane	28652:28022:1703:526
january	42878:14800:3075:526 37435:9106:5354:510
ject	17855:30925:1615:542
joachim	18563:52983:3141:558
join	1991:61962:1438:542
joint	44029:24162:1770:542
jumpers	52481:22695:3296:542
june	17877:29489:1770:526
junior	41130:55821:2411:526 36550:61340:2367:542
just	33519:56428:1438:542 52635:35710:1526:526
knight	21041:47592:2699:526
known	17832:39171:2522:414
l	30997:62568:708:414
labor	3783:40909:1991:430
laboratory	53697:45805:4270:526
lack	4602:10941:2101:733
large	2190:19234:1880:542 30112:14928:1924:526 22014:12599:2079:542 37281:32998:1880:526
last	62260:34976:1349:430 37922:19856:1349:398 1991:63716:1349:414
leading	9358:50861:2765:542
leaky	17722:62010:2544:542
least	22634:32679:1792:398 2013:46204:1792:414
lecture	54627:61850:2610:414
legal	39648:38979:1836:558
less	30599:37958:1393:414
letter	3717:14912:2057:398
li	62238:56938:708:414
lights	53189:50909:2124:526
like	60313:34976:1371:462
literature	55512:62983:3562:414
long	52171:17799:1659:542
lot	54118:21387:973:430
lowing	17678:58118:2588:558
lumbia	33696:29202:2588:414
m	23430:58852:862:398 29404:62568:840:414 20974:63174:818:414 60158:62377:840:430 30068:58836:1792:382
make	10730:62552:2013:398
makes	39759:32392:2367:414
making	25975:35008:2876:542
man	2013:52759:1637:287
manage	44383:50399:2765:414
management	36794:26379:4978:462 35090:46810:4933:478
mandolin	39360:21276:3495:414
manifold	41794:51435:3517:430
march	40444:53924:2389:398 36971:36076:2367:398
master	25621:46906:2721:366
masterpieces—and	3517:57879:7146:558
may	60888:26954:1615:414 25023:49011:1615:398 14558:38660:1615:398
meagre	27391:17990:2809:398
means	29692:11515:2411:303
meet	61397:40702:1725:366
memphis	33741:25614:3429:526
men	26063:59538:2367:542 51396:15055:1593:287 8540:62680:1615:287 12146:42759:1593:287 58233:17958:1593:271 27523:16810:1770:287 51817:26363:1593:287 42015:17815:1593:271 57215:23891:1570:398 12744:58007:1570:287 6261:60367:1593:271 51905:12185:1593:287 2013:61515:1593:287
ment	33541:50973:2101:382 33674:39075:1924:350
ments	33696:27815:2301:366 33674:34944:2301:366
merits	29360:18437:2566:414
met	6903:42105:1438:382
metcalfe	20841:60255:3429:462
mid-year	36130:59458:3407:542
minister	50755:63605:3097:414
minor	19625:53573:2367:478
mits	49560:19218:1615:414
model	20023:36220:2478:414
moment	39980:19888:3119:366
month	41307:54514:2610:430
months	22103:33860:2787:398
more	2079:48660:1858:287 45909:33110:1924:287 6504:48660:1858:287 26793:21531:1902:271
morehouse	58056:55550:4093:414
most	61441:59314:1836:382
mr	29338:46874:1194:398 22855:46172:1216:398 3429:41515:1172:398
mrs	26506:28022:1526:398
much	6283:40303:2079:430 43099:32998:2079:398 14115:24928:2079:398
multiplicity	38874:48517:4447:526
murphy	49560:27990:2986:542
music	2079:47352:2168:446 10354:60798:2389:414 2101:21371:2212:430 2013:53796:2544:494 9735:33828:2389:478
musical	2079:49107:2854:430 24271:11993:2876:430 6239:47352:2876:430 11837:25646:2898:414
music-hall	2013:54386:4115:478
must	27590:31547:1880:350
n	38785:14083:796:414
name	56861:38437:2057:271 11151:49809:2190:303
names	57791:26842:2566:398 49206:58900:2610:287
nary	33586:44434:1747:398
national	5885:52026:3053:430
near	7301:23636:1836:334
nev	46241:18516:1216:287
new	44471:61994:1548:287 18762:23190:1725:398 4557:24976:1703:398 30245:42552:1725:414 39980:16969:1725:398 46286:31340:1548:287 3628:29170:1725:398 18673:9122:2544:510 61906:33541:1725:414 25090:47592:1725:414
news	43830:637:12014:31 12368:19872:2079:414 4889:14194:2079:398 35820:10813:2212:717
newspapers	11748:23604:4447:414
next	49538:25694:1681:366
ni	2101:23540:730:414
no	33630:42089:907:271 29669:51818:1239:414 24802:17400:885:287 8562:9186:1504:494
nom	14270:33955:1438:271
not	5619:45662:1194:366
notes	44936:38979:2787:430
nual	33497:55837:1637:414
nude	17855:36220:1836:414
number	1991:60239:2942:414 60578:41834:2920:414
numbers	4380:19202:3606:414
obtained	59295:39474:3252:430 28585:48884:3274:414
o'clock	17832:45439:2942:414
of	35887:37241:730:414 29006:32073:708:414 49427:42424:708:414 3805:29745:708:430 61486:19984:708:414 33696:32998:708:414 52259:54880:708:414 59251:54115:708:414 39161:53924:708:414 51087:18516:708:414 42524:26316:708:414 36927:34290:708:414 40267:44848:730:430 29559:19617:708:414 3540:24976:708:414 23873:19617:752:430 50932:41244:708:430 43741:50845:730:414 31329:27273:730:430 15487:28517:730:414 43741:31212:730:414 41617:50271:730:414 55556:61244:708:430 37524:24162:730:414 7124:32647:708:430 49516:40654:730:414 7743:19888:730:414 29802:29458:730:414 43697:25598:708:414 8385:30877:708:430 26041:30175:730:430 43675:48517:708:398 40157:47337:708:414 61043:35694:730:430 33541:57592:708:414 35776:58182:730:414 35931:39011:708:414 7234:53206:730:414 2057:43844:730:414 13474:40287:708:414 58189:36411:752:430 43453:45566:730:414 15310:53222:730:414 46949:49107:708:398 60711:47959:730:414 10664:40877:730:414 4425:17767:708:430 4579:52042:708:414 8097:49697:708:414 60357:33525:708:430 5265:60223:708:430 33519:60638:708:414 2057:58485:708:398 9491:50271:685:414 59450:56970:708:414 11239:15550:708:446 13894:46172:730:414 60866:34258:730:414 29404:41818:708:414 3960:52632:708:430 52149:56300:708:414 24072:47592:730:414 46994:39569:730:414 29891:11977:708:414 22567:49474:685:414 58742:45072:730:430 44803:62440:730:430 47171:19824:730:414 8341:38533:730:430 7544:20622:708:414 7146:10909:929:749 24957:35008:730:430 40090:56986:708:430 11947:56699:708:414 3894:37384:708:414 29492:35614:730:414 35842:16236:708:414 17987:12009:730:430
offered	2920:59059:2610:430
office	26660:56109:1902:398 23452:58118:1947:414
officers	49272:54880:2655:414
oils	24182:30175:1261:430
on	62702:37273:840:287 6106:41021:862:303 57437:58852:862:287 17943:19776:862:271 61065:20829:862:287 54051:50447:862:287
once	58322:17225:1902:287
one	2035:56284:1305:287 4978:35151:1504:350 2101:42679:1482:414
one-sixteenth	11018:43222:5110:414
only	14447:55550:1615:542 30400:19027:1637:542 26483:37958:1637:542
op	22457:53573:1239:526 17744:54769:1239:542
open	57901:37257:1770:414
or	31019:17400:685:271 62680:51005:730:303 59539:27560:730:271
orches	13230:29107:2500:430
orchestra	4911:16331:3894:446 8341:55534:3916:478 27191:16092:3739:478 23519:40542:3473:382 4380:30925:3562:398 25178:43270:3761:414 8783:34418:3540:414 20687:13173:3783:430
ordered	55114:42408:3075:430
organized	4469:31483:3672:558 12412:54960:3672:542
other	26439:17272:1991:398
our	12412:22759:1438:414 3495:43987:1239:271 24005:16252:1194:271
out	49560:18564:1172:366 14868:57943:1194:350
outcome	38630:20622:3385:350
over	7035:25789:1659:287 59539:58246:1637:303
own	25466:16236:1416:287
owner's	53631:38309:2942:414
p	28762:58820:663:398
painfully	12213:12408:2721:366
painter	26483:29458:2721:542
painting	27191:24545:3252:510
paper	49228:59474:2146:414
park	14115:40893:1637:398
parker	8341:17735:2566:414 8031:54960:2544:414 10465:51467:2699:446 24005:45439:2566:398 29470:20797:2566:414 11947:31467:2566:398
parker's	5995:61978:3163:414
part	8783:40925:1570:510
pass	22036:37496:1615:430 58034:48676:1615:414
path	59826:21403:1681:542
